PopSize: 200 MutationProb: 0,25 CrossoverProb: 0,7 GenCount: 300 Tour: 4; Best; Avg; Worst;
1; 24913,0145950317; 28384,9328532887; 32153,7652702332;
2; 24343,5481796265; 27193,6804043198; 30641,1492195129;
3; 23145,9823913574; 26156,4587233162; 29766,0603675842;
4; 22912,4575767517; 25116,0860395432; 28729,1885700226;
5; 22059,8666381836; 24480,469817791; 28180,2808113098;
6; 22059,8666381836; 23947,845844698; 27367,9616832733;
7; 21436,5158424377; 23643,9086219883; 27626,0337753296;
8; 20913,056350708; 23283,1922515965; 27685,692199707;
9; 19418,9180831909; 22622,6179485798; 27332,9979095459;
10; 19418,9180831909; 22309,5608989048; 26355,4793930054;
11; 19418,9180831909; 21842,3998163795; 24803,3919067383;
12; 18995,8922195435; 20989,3739074516; 23817,5542831421;
13; 18733,5796203613; 20357,7640107536; 23834,5637435913;
14; 18733,5796203613; 19944,9861844826; 22330,9585113525;
15; 18733,5796203613; 19840,0427617264; 22819,5865249634;
16; 18461,4560699463; 19733,5551313782; 22985,2390365601;
17; 18160,1399459839; 19615,4349451828; 22043,7996940613;
18; 18080,8414230347; 19379,9207793617; 22224,7850265503;
19; 17597,0387954712; 19216,4477377892; 21846,8938980103;
20; 17252,8749084473; 19121,2525629807; 22464,9853210449;
21; 17252,8749084473; 18949,6943413544; 22656,0448455811;
22; 16816,3158035278; 18607,9825931931; 22169,9730300903;
23; 16816,3158035278; 18528,9841008949; 21434,4040527344;
24; 16514,4773788452; 18510,2288079071; 21838,3492126465;
25; 16241,0770874023; 18045,8721615887; 22121,1108779907;
26; 15662,9856033325; 17445,3467914295; 20355,1088409424;
27; 15662,9856033325; 17301,4824711323; 20483,4653625488;
28; 15662,9856033325; 17205,2899138832; 19731,8206481934;
29; 15656,9618225098; 16974,392416954; 19693,6259078979;
30; 15100,6999053955; 16564,6577504444; 19765,1489868164;
31; 15100,6999053955; 16116,8094836712; 18306,9742202759;
32; 15037,8802871704; 15938,1894999027; 18285,7988052368;
33; 14809,3108978271; 16012,6018907642; 19491,3472671509;
34; 14809,3108978271; 16086,9248188114; 19154,3889541626;
35; 14638,1196746826; 16108,8979957294; 19164,7755432129;
36; 14129,3363037109; 15923,8603823185; 20324,8957519531;
37; 14129,3363037109; 15736,8981052113; 18712,0839920044;
38; 14060,3282928467; 15596,7617858982; 19377,9733581543;
39; 13767,228187561; 15140,8045517159; 19988,9359436035;
40; 13767,228187561; 14569,5117918777; 17835,6522750854;
41; 13657,2414550781; 14449,1917178154; 16370,6585159302;
42; 13657,2414550781; 14460,0696310902; 17238,350112915;
43; 13493,8777770996; 14470,6378154469; 17469,5285491943;
44; 13493,8777770996; 14522,1433504009; 17418,4906311035;
45; 13127,9452056885; 14395,8903236485; 17540,0657424927;
46; 13127,9452056885; 14478,0312825203; 16884,3933334351;
47; 12904,64112854; 14398,0830540466; 17120,5266799927;
48; 12852,4164848328; 13949,8554379845; 17472,5292129517;
49; 12822,821472168; 13651,8052856731; 17118,4135284424;
50; 12723,7807006836; 13430,0973114872; 15702,4535140991;
51; 12723,7807006836; 13362,3066175079; 15923,0771942139;
52; 12387,3954925537; 13398,5611000824; 16104,8603172302;
53; 12387,3954925537; 13284,4377543068; 15821,6451263428;
54; 12377,9750213623; 13300,4049648285; 15955,8403892517;
55; 12280,4423446655; 13277,1707866287; 17144,4478378296;
56; 12190,0380859375; 12978,9882454681; 15988,9508132935;
57; 11914,7181930542; 12684,5096829128; 14878,8097381592;
58; 11914,7181930542; 12728,1728721619; 15433,5944442749;
59; 11914,7181930542; 12730,3863971519; 15547,2516555786;
60; 11871,9433784485; 12734,4369412422; 15373,4264221191;
61; 11855,1471710205; 12481,1922933674; 15711,0201263428;
62; 11855,1471710205; 12297,2418769455; 15222,6980667114;
63; 11817,2747344971; 12148,5087989426; 14033,1116943359;
64; 11692,8975715637; 12233,9697582245; 14945,124206543;
65; 11585,0640716553; 12430,3718260193; 15413,809677124;
66; 11585,0640716553; 12387,3008536148; 15365,2318000793;
67; 11522,6635799408; 12388,7615646362; 14912,1660919189;
68; 11466,9662628174; 12263,5761170864; 14649,4737014771;
69; 11240,2209472656; 12130,2592724133; 14990,1614265442;
70; 11240,2209472656; 12057,5734829044; 15189,2711753845;
71; 11240,2209472656; 11828,6528278732; 13935,5487422943;
72; 11225,2957763672; 11871,7909363461; 14794,5636825562;
73; 10937,0377960205; 11762,8464687347; 14860,4716644287;
74; 10937,0377960205; 11634,8372220516; 13735,704864502;
75; 10937,0377960205; 11582,4168525887; 13525,2527160645;
76; 10711,4385986328; 11526,5903898144; 13836,2722854614;
77; 10711,4385986328; 11581,0911350346; 14062,4936180115;
78; 10699,6790428162; 11355,9513963509; 15834,7437744141;
79; 10699,6790428162; 11242,9915858459; 13425,4946022034;
80; 10699,6790428162; 11430,1137846184; 14457,6640510559;
81; 10672,4224205017; 11519,0383757782; 14338,7756309509;
82; 10672,4224205017; 11700,507180891; 15480,2457962036;
83; 10620,4182853699; 11461,1110420227; 14537,2558479309;
84; 10620,4182853699; 11210,5871330833; 15295,2040138245;
85; 10554,8189277649; 11002,719759655; 14175,3462333679;
86; 10554,8189277649; 11127,020634985; 14003,6688804626;
87; 10540,2348747253; 11019,9190971947; 13184,176158905;
88; 10305,4823722839; 11173,6866340446; 13677,5582237244;
89; 10305,4823722839; 11147,626391983; 13229,7144813538;
90; 10305,4823722839; 11086,2286073303; 14220,8887062073;
91; 10124,6219444275; 11098,8419818878; 14931,3421897888;
92; 10124,6219444275; 10673,0428264618; 12796,3935050964;
93; 10124,6219444275; 10728,19782444; 13453,2108039856;
94; 9982,61918258667; 10564,7095301819; 12964,9807090759;
95; 9982,61918258667; 10860,9654444504; 14639,6398048401;
96; 9982,61918258667; 10748,8390306568; 15142,1022529602;
97; 9982,61918258667; 10685,5242045784; 14675,4822158813;
98; 9982,61918258667; 10345,6436598778; 13198,391204834;
99; 9955,51542282104; 10253,4188568687; 12318,4808540344;
100; 9955,51542282104; 10271,9787175751; 12384,3293037415;
101; 9955,51542282104; 10184,9003556919; 12245,6503715515;
102; 9955,51542282104; 10193,3973888397; 12775,2878990173;
103; 9922,27850341797; 10124,5211372185; 12265,3466148376;
104; 9922,27850341797; 10174,160138073; 12855,4259757996;
105; 9893,9395904541; 10133,7814301872; 12150,8987617493;
106; 9890,71697235107; 10174,1825213242; 13735,4600486755;
107; 9832,39604187012; 10164,7305384827; 12225,9131736755;
108; 9828,3164806366; 10267,2554005432; 12841,3662071228;
109; 9823,6907119751; 10294,0262762356; 13614,0962982178;
110; 9620,92447662354; 10180,4417708492; 12495,1324081421;
111; 9620,92447662354; 10351,2832639503; 12818,5563278198;
112; 9620,92447662354; 10425,8769373512; 13784,0089263916;
113; 9620,92447662354; 10448,0909072018; 13175,9778366089;
114; 9578,32526016235; 10424,148167696; 13471,4300460815;
115; 9578,32526016235; 10157,17515275; 13132,1403656006;
116; 9558,52398490906; 9929,80496520996; 13576,6405334473;
117; 9417,59466552734; 9781,90260169029; 11213,1794281006;
118; 9417,59466552734; 10004,5031149769; 12513,0941581726;
119; 9417,59466552734; 10217,036574049; 13363,3859939575;
120; 9417,59466552734; 10040,7468611431; 12314,0371761322;
121; 9335,87119865417; 10053,5352917385; 13345,4371089935;
122; 9335,87119865417; 10004,1210226536; 13116,6024665833;
123; 9194,92175292969; 9806,19953773498; 12944,1693954468;
124; 9194,92175292969; 9764,51471161842; 12516,9129714966;
125; 9150,4466381073; 9642,64000763893; 11967,0215644836;
126; 9150,4466381073; 9763,14771461487; 13091,8184337616;
127; 9150,4466381073; 9838,06127838135; 12268,4167690277;
128; 9150,4466381073; 9799,12850785255; 13600,2990856171;
129; 9150,4466381073; 9628,26555130959; 12423,6592979431;
130; 9150,4466381073; 9435,36007109642; 11454,9228954315;
131; 9104,50529289246; 9406,31263678551; 12235,7817516327;
132; 8979,36065483093; 9397,13878572464; 11878,5129833221;
133; 8979,36065483093; 9376,62399621963; 11758,916059494;
134; 8979,36065483093; 9523,74209614754; 12109,8479290009;
135; 8979,36065483093; 9656,17296159744; 12002,2756175995;
136; 8979,36065483093; 9787,15328231812; 13269,8216152191;
137; 8927,30415916443; 9741,17722498894; 13159,3389186859;
138; 8927,30415916443; 9403,80566687584; 13295,6868724823;
139; 8927,30415916443; 9149,15663749695; 11355,7404308319;
140; 8916,40069389343; 9201,95625213623; 11433,497549057;
141; 8916,40069389343; 9100,49561315536; 11017,8993206024;
142; 8916,40069389343; 9175,03773885727; 11867,8608150482;
143; 8916,40069389343; 9147,07602082253; 11719,9728755951;
144; 8876,43684577942; 9169,42836454392; 11104,6551647186;
145; 8846,41392707825; 9126,68376132965; 12100,2466487885;
146; 8795,54661369324; 9161,85297825813; 11200,9651355743;
