30712,42884;;Worst;Best;AVG;STD
30921,57379;;34673,78773;22919,72156;29886,26116;1575,418703
32031,25121;;;;;
30649,63924;;;;;
26477,04933;;;;;
29143,12794;;;;;
30283,43341;;;;;
29246,33665;;;;;
30737,86712;;;;;
28586,53131;;;;;
31081,7635;;;;;
27606,28097;;;;;
34646,48509;;;;;
29402,43981;;;;;
29040,91549;;;;;
26344,38913;;;;;
28236,86429;;;;;
32823,82567;;;;;
28431,57279;;;;;
27166,63699;;;;;
28872,83097;;;;;
31081,45319;;;;;
27324,82887;;;;;
30858,55639;;;;;
28156,42376;;;;;
29706,72356;;;;;
30294,24266;;;;;
31737,54316;;;;;
29831,16444;;;;;
26705,95691;;;;;
31585,95638;;;;;
28435,06719;;;;;
29449,69294;;;;;
27008,17765;;;;;
29063,24591;;;;;
31193,08681;;;;;
28533,54332;;;;;
30321,84735;;;;;
29879,74905;;;;;
28644,05064;;;;;
29658,62772;;;;;
29961,33341;;;;;
29704,04481;;;;;
31618,61653;;;;;
31547,35069;;;;;
31216,66649;;;;;
32240,48571;;;;;
31485,663;;;;;
31044,49477;;;;;
30896,09781;;;;;
29607,93113;;;;;
29775,51632;;;;;
27694,68271;;;;;
30386,96568;;;;;
29989,85712;;;;;
30001,38073;;;;;
28141,14304;;;;;
27331,17159;;;;;
26718,85253;;;;;
25466,17026;;;;;
30542,66392;;;;;
27022,13203;;;;;
31470,31651;;;;;
29072,46535;;;;;
31272,58447;;;;;
32404,56623;;;;;
31342,88593;;;;;
29344,46738;;;;;
28324,93062;;;;;
31808,39787;;;;;
29714,90459;;;;;
28467,89723;;;;;
30189,74554;;;;;
30964,10677;;;;;
29918,65886;;;;;
29416,74768;;;;;
29793,082;;;;;
30235,59509;;;;;
30447,56356;;;;;
28923,87864;;;;;
27867,23145;;;;;
27863,74214;;;;;
27133,62169;;;;;
29144,61636;;;;;
30001,32767;;;;;
29384,2761;;;;;
30675,15325;;;;;
28319,81222;;;;;
30154,16762;;;;;
29841,35978;;;;;
32112,74329;;;;;
26108,69841;;;;;
30859,89359;;;;;
32148,13559;;;;;
33509,47172;;;;;
31850,80728;;;;;
28779,12228;;;;;
30591,11621;;;;;
29543,22564;;;;;
29819,03382;;;;;
27400,02368;;;;;
29795,59481;;;;;
28460,09586;;;;;
31642,01675;;;;;
29443,37321;;;;;
28747,77596;;;;;
29183,17712;;;;;
27436,20078;;;;;
27078,40391;;;;;
29536,10179;;;;;
27455,16901;;;;;
28381,66047;;;;;
27635,56141;;;;;
28782,94059;;;;;
29280,49975;;;;;
30867,20845;;;;;
29480,41531;;;;;
31669,7316;;;;;
30527,58364;;;;;
30240,65774;;;;;
29433,30579;;;;;
30844,85222;;;;;
31513,57028;;;;;
31986,30544;;;;;
29725,84073;;;;;
28986,26851;;;;;
27650,7654;;;;;
32851,08621;;;;;
27982,12122;;;;;
30151,96129;;;;;
31585,3197;;;;;
27523,74982;;;;;
31998,0942;;;;;
32679,58743;;;;;
29612,93404;;;;;
28407,30215;;;;;
31706,80884;;;;;
31421,29821;;;;;
34129,43803;;;;;
28889,52904;;;;;
32152,98396;;;;;
26765,51885;;;;;
28891,91938;;;;;
30772,78472;;;;;
30403,06833;;;;;
28521,29711;;;;;
30588,36024;;;;;
30599,54716;;;;;
26901,76215;;;;;
29714,12212;;;;;
30753,3514;;;;;
27123,19376;;;;;
31004,96749;;;;;
30669,75709;;;;;
30803,92368;;;;;
31187,02925;;;;;
29660,72919;;;;;
30924,38716;;;;;
29996,61912;;;;;
31410,56932;;;;;
31054,75755;;;;;
29541,3119;;;;;
29702,49031;;;;;
29570,61793;;;;;
30791,88557;;;;;
28037,82565;;;;;
30582,29072;;;;;
27682,60574;;;;;
31154,57805;;;;;
29794,11261;;;;;
31025,20971;;;;;
31989,59621;;;;;
32774,09425;;;;;
32543,79543;;;;;
29685,48318;;;;;
27545,31733;;;;;
28298,80595;;;;;
27900,56306;;;;;
30656,00421;;;;;
28947,91489;;;;;
29009,20368;;;;;
29530,28944;;;;;
30417,35413;;;;;
30439,21724;;;;;
32062,5772;;;;;
29402,79776;;;;;
