15737,09339;;BEST;WORST;AVG;STD
15916,46664;;14759;17097;15789;417
15082,94292;;;;;
15916,26989;;;;;
14839,75221;;;;;
15874,07036;;;;;
14828,18487;;;;;
15730,25341;;;;;
15995,4338;;;;;
15729,52867;;;;;
16007,15526;;;;;
15876,26731;;;;;
15642,55406;;;;;
15056,40136;;;;;
16016,01477;;;;;
15867,94508;;;;;
15859,91816;;;;;
15718,59964;;;;;
15722,31196;;;;;
15874,29428;;;;;
15843,26767;;;;;
14758,51987;;;;;
15882,25767;;;;;
14781,11142;;;;;
14791,68449;;;;;
15642,41671;;;;;
15971,08833;;;;;
15858,30431;;;;;
15892,00608;;;;;
15852,81648;;;;;
15647,07051;;;;;
14772,61325;;;;;
16472,2244;;;;;
15450,38436;;;;;
16474,2807;;;;;
15450,28273;;;;;
15806,27006;;;;;
16433,59721;;;;;
15327,48837;;;;;
15876,85469;;;;;
16176,21298;;;;;
16745,93348;;;;;
17097,4953;;;;;
16718,66593;;;;;
15651,26965;;;;;
15508,44573;;;;;
16708,80782;;;;;
17054,82117;;;;;
15247,27976;;;;;
17032,00975;;;;;
16037,40492;;;;;
15626,91337;;;;;
16368,15715;;;;;
15607,866;;;;;
15639,93401;;;;;
16723,09138;;;;;
15653,83613;;;;;
16088,01859;;;;;
15658,98812;;;;;
16542,56013;;;;;
15525,88835;;;;;
15907,46056;;;;;
15397,21792;;;;;
15923,46642;;;;;
15456,08624;;;;;
15373,78033;;;;;
15393,28541;;;;;
15482,3951;;;;;
15454,99406;;;;;
15385,95482;;;;;
15487,34466;;;;;
16171,33285;;;;;
15914,25446;;;;;
15897,17723;;;;;
15464,72189;;;;;
15769,78455;;;;;
15912,77962;;;;;
15432,35758;;;;;
15550,66942;;;;;
15515,04888;;;;;
15475,72965;;;;;
15923,23314;;;;;
15431,33432;;;;;
15929,98771;;;;;
15543,06399;;;;;
15466,91302;;;;;
15914,69687;;;;;
15929,97459;;;;;
15495,60469;;;;;
15494,9671;;;;;
15925,89793;;;;;
15782,19832;;;;;
15486,63532;;;;;
15418,19541;;;;;
15445,61604;;;;;
15378,40373;;;;;
15380,73974;;;;;
15806,27638;;;;;
15353,49902;;;;;
15359,50548;;;;;
15353,48851;;;;;
15189,83739;;;;;
16228,82364;;;;;
15187,74478;;;;;
15093,16213;;;;;
16335,12405;;;;;
16357,05319;;;;;
15799,27127;;;;;
16345,23328;;;;;
16354,94245;;;;;
16344,4707;;;;;
16175,20719;;;;;
16343,96938;;;;;
16330,16159;;;;;
16167,55767;;;;;
16330,13909;;;;;
16080,11568;;;;;
16059,2161;;;;;
16101,09391;;;;;
16090,57408;;;;;
16048,63539;;;;;
16026,86706;;;;;
16053,81127;;;;;
15981,47931;;;;;
16030,15452;;;;;
16021,25712;;;;;
15967,60416;;;;;
15982,35152;;;;;
15994,67492;;;;;
15796,63827;;;;;
16343,49931;;;;;
16329,81115;;;;;
15783,6059;;;;;
16353,90771;;;;;
16342,75292;;;;;
16162,70698;;;;;
16342,56394;;;;;
16139,06469;;;;;
16136,7804;;;;;
16058,95654;;;;;
16113,18145;;;;;
16103,51263;;;;;
16047,78751;;;;;
16058,07554;;;;;
16066,03281;;;;;
16057,49341;;;;;
16067,76912;;;;;
16035,1059;;;;;
15968,15286;;;;;
15977,04608;;;;;
15997,11531;;;;;
15970,10876;;;;;
15984,4177;;;;;
15777,76947;;;;;
15704,0886;;;;;
15782,26518;;;;;
15717,79652;;;;;
15811,24796;;;;;
15727,86388;;;;;
15759,54089;;;;;
15835,16873;;;;;
15849,70715;;;;;
15749,50113;;;;;
15782,52149;;;;;
15901,59894;;;;;
15794,13633;;;;;
15889,58775;;;;;
15805,82957;;;;;
15877,65245;;;;;
