510432,9172;;BEST;WORST;AVG;STD
488529,5095;;441242;548808;496005;13752
478578,5377;;;;;
485028,0985;;;;;
496817,4767;;;;;
498565,5924;;;;;
512220,7349;;;;;
492898,4276;;;;;
504529,431;;;;;
492636,1018;;;;;
508673,5478;;;;;
492324,6768;;;;;
468306,0668;;;;;
511744,0907;;;;;
492443,8461;;;;;
491840,7878;;;;;
505945,352;;;;;
512487,6091;;;;;
513609,6562;;;;;
484295,8506;;;;;
504531,5278;;;;;
530405,6936;;;;;
503116,3521;;;;;
489656,7552;;;;;
503723,0291;;;;;
508829,1134;;;;;
512489,6733;;;;;
495468,1509;;;;;
490110,9377;;;;;
488322,684;;;;;
496757,9593;;;;;
487188,3464;;;;;
506300,1493;;;;;
473637,7328;;;;;
490889,9981;;;;;
520862,585;;;;;
473279,0983;;;;;
491318,0535;;;;;
488822,7856;;;;;
480432,1267;;;;;
478601,7761;;;;;
490968,9471;;;;;
509933,7592;;;;;
481958,7378;;;;;
517506,218;;;;;
492103,6152;;;;;
504159,798;;;;;
489128,3453;;;;;
510604,9185;;;;;
495401,478;;;;;
507331,651;;;;;
493287,733;;;;;
473233,4273;;;;;
518514,0205;;;;;
498885,7099;;;;;
523037,0852;;;;;
477043,8474;;;;;
510344,3789;;;;;
520463,7153;;;;;
509402,8088;;;;;
511412,4727;;;;;
498566,3655;;;;;
483909,9348;;;;;
481238,419;;;;;
514538,2218;;;;;
481247,3081;;;;;
496547,3638;;;;;
475239,0789;;;;;
513065,3673;;;;;
492761,1524;;;;;
505733,2715;;;;;
472955,5921;;;;;
498659,2925;;;;;
490345,9798;;;;;
498647,113;;;;;
503851,1383;;;;;
504123,1822;;;;;
496455,0769;;;;;
479862,0572;;;;;
514711,3407;;;;;
484176,4991;;;;;
494915,3994;;;;;
494077,1189;;;;;
482279,5666;;;;;
480909,189;;;;;
501619,3199;;;;;
498660,9537;;;;;
492261,3582;;;;;
491977,8482;;;;;
498617,3467;;;;;
499715,3095;;;;;
506390,5114;;;;;
519652,3078;;;;;
480963,1476;;;;;
468154,1444;;;;;
490783,7747;;;;;
476416,7337;;;;;
493543,7712;;;;;
488088,413;;;;;
514041,1807;;;;;
513630,0445;;;;;
509768,3283;;;;;
