PopSize: 400 MutationProb: 0,4 CrossoverProb: 0,7 GenCount: 500 Tour: 8; Best; Avg; Worst;
1; 141594,015014648; 159713,55714201; 178341,184829712;
2; 133388,4582901; 153193,658845153; 173671,404256821;
3; 127117,09022522; 145454,174965177; 166681,603652954;
4; 125119,685173035; 137760,150997734; 161544,244819641;
5; 120026,760643005; 132112,098403316; 148964,570983887;
6; 119138,925987244; 128915,461138525; 144873,897277832;
7; 117263,549430847; 126352,091073036; 139261,627830505;
8; 113746,546012878; 123853,962554884; 141668,080886841;
9; 113746,546012878; 121787,034966698; 133862,981567383;
10; 109930,207481384; 118986,257409759; 133724,045318604;
11; 109348,107505798; 117017,258873482; 129997,419006348;
12; 104244,834785461; 114646,621981387; 127258,847564697;
13; 102728,263641357; 112236,654997044; 127710,257484436;
14; 100780,133712769; 110495,110771093; 121222,201164246;
15; 99784,4221725464; 107457,31968102; 122660,55708313;
16; 97939,7950897217; 105429,833539295; 117316,913513184;
17; 97229,941986084; 103645,675423293; 114865,851631165;
18; 96787,205368042; 101646,980046272; 111565,873451233;
19; 94926,8443145752; 101241,190106583; 115256,291793823;
20; 93628,9982757568; 100157,339495239; 110290,420158386;
21; 93198,9259338379; 99078,6337207079; 109617,562416077;
22; 92099,6455535889; 98128,2731809282; 110037,174186707;
23; 89000,006149292; 97215,9522747087; 110467,65877533;
24; 89000,006149292; 96960,9858853436; 108581,407394409;
25; 87604,4235076904; 95441,6028678417; 108749,734558105;
26; 86713,7842712402; 94189,2201804924; 106820,902816772;
27; 86657,6176605225; 92120,8066277123; 104837,263175964;
28; 84766,2279968262; 90405,7411958218; 106236,722915649;
29; 81770,6913299561; 89024,5900813818; 98463,6085662842;
30; 80643,6777191162; 88165,3909622574; 100222,818382263;
31; 79144,3093719482; 86098,8023495865; 98070,155418396;
32; 79144,3093719482; 83792,0200771523; 95223,5757522583;
33; 78075,6477813721; 82165,5976953316; 91449,6152496338;
34; 76410,3230438232; 81312,5904085636; 89447,6554107666;
35; 76410,3230438232; 80407,423613224; 89672,2095031738;
36; 75900,0565948486; 80434,6344196272; 91694,3455886841;
37; 75270,8671722412; 79541,9646896362; 91319,7827148438;
38; 73616,9362030029; 78591,7997871733; 88912,9469451904;
39; 73616,9362030029; 78239,9112370014; 89046,4371871948;
40; 73462,0290985107; 78041,3832856464; 85762,186882019;
41; 71871,4674377441; 77717,403647995; 87235,2347259521;
42; 71046,1801261902; 76661,3273516703; 89118,886138916;
43; 71046,1801261902; 75266,3475588703; 87027,0427474976;
44; 69277,8639945984; 73534,1394131613; 84991,704864502;
45; 69277,8639945984; 73644,639577961; 81238,6753158569;
46; 68653,463596344; 72780,7299262905; 83045,9744148254;
47; 67749,7910194397; 71136,0054746819; 80085,7611808777;
48; 67606,1967658997; 70191,8167729664; 77220,2575263977;
49; 66997,106098175; 70071,936336937; 79471,0859794617;
50; 66404,7419624329; 69887,2767856312; 79444,3662757874;
51; 65375,9127388; 69421,9763740063; 79356,9993400574;
52; 64623,4504585266; 68498,580708518; 78807,5309638977;
53; 64623,4504585266; 67641,3672450113; 82470,6892127991;
54; 64561,6235694885; 67054,0775219059; 76643,139339447;
55; 62777,4562339783; 66538,4040974188; 76179,3394699097;
56; 62777,4562339783; 66005,2070204353; 72595,4116325378;
57; 62542,2667808533; 66166,4699963856; 78032,2411842346;
58; 61594,0566062927; 65654,2711638451; 77843,2103233337;
59; 60948,2449684143; 64860,3798868084; 73140,0003929138;
60; 59959,5051231384; 63806,0352971935; 73839,2620201111;
61; 59239,8052635193; 63244,4274010563; 76221,1008415222;
62; 58920,6790733337; 63400,1263243103; 72788,2350273132;
63; 58920,6790733337; 63075,8719229984; 73413,5731468201;
64; 57934,5333518982; 62300,6611674929; 73664,6988639832;
65; 57679,5994377136; 61071,1026872826; 74641,0833778381;
66; 57570,1735496521; 61468,188069067; 75250,4923591614;
67; 57570,1735496521; 61168,3443303585; 71045,3249969482;
68; 55825,9673576355; 60466,5088709545; 74106,8775520325;
69; 55585,1776390076; 59987,0009602404; 71729,7337760925;
70; 55419,390789032; 59246,3840883827; 72346,5114250183;
71; 55065,5756225586; 59126,0319779348; 70591,3327941895;
72; 54650,9386711121; 58928,3362594557; 67831,7163276672;
73; 54650,9386711121; 59197,0585836887; 70533,5368003845;
74; 54553,3057365417; 58298,9515363121; 70242,6397247314;
75; 54025,9631958008; 57939,0872398901; 73186,919303894;
76; 54025,9631958008; 57425,0736579227; 67552,7947044373;
77; 52821,0741539001; 57040,5364581299; 68516,2491607666;
78; 52821,0741539001; 55900,6534285164; 72155,1091995239;
