337097,1702;;BEST;WORST;AVG;STD
326503,6358;;293275;384126;340217;11808
358202,1686;;;;;
333895,2196;;;;;
347994,3814;;;;;
328126,7342;;;;;
326271,0009;;;;;
332473,0508;;;;;
329774,6756;;;;;
341286,1991;;;;;
343176,8292;;;;;
348498,3179;;;;;
337853,4611;;;;;
338501,7392;;;;;
320433,8098;;;;;
329008,3648;;;;;
351857,9618;;;;;
343999,8115;;;;;
313650,419;;;;;
340527,0007;;;;;
329807,2268;;;;;
331367,1184;;;;;
323425,4971;;;;;
353158,6403;;;;;
344664,6348;;;;;
359204,1632;;;;;
335674,0374;;;;;
347790,4508;;;;;
338073,8669;;;;;
331899,5413;;;;;
341523,1861;;;;;
338305,1298;;;;;
319334,0168;;;;;
330821,2323;;;;;
336956,2175;;;;;
326879,4976;;;;;
340919,7551;;;;;
351352,2254;;;;;
341565,7619;;;;;
341808,5557;;;;;
354204,8954;;;;;
337378,6774;;;;;
338792,1773;;;;;
336074,7899;;;;;
355918,401;;;;;
341567,3162;;;;;
334320,7004;;;;;
327597,4987;;;;;
354526,6165;;;;;
330678,7514;;;;;
322705,0307;;;;;
336517,7161;;;;;
358676,1721;;;;;
337091,6767;;;;;
325927,1249;;;;;
328452,8953;;;;;
316119,8467;;;;;
331875,0072;;;;;
322067,1609;;;;;
334087,555;;;;;
321485,4745;;;;;
355300,085;;;;;
320382,7009;;;;;
343145,2392;;;;;
333557,7334;;;;;
338697,3774;;;;;
352311,2626;;;;;
362954,5278;;;;;
330938,7268;;;;;
326140,5338;;;;;
352451,5088;;;;;
340236,6932;;;;;
351797,5784;;;;;
345468,2195;;;;;
343504,6559;;;;;
324405,8401;;;;;
337884,8853;;;;;
348678,4433;;;;;
333669,0691;;;;;
341117,6607;;;;;
332723,9582;;;;;
324841,1017;;;;;
362862,168;;;;;
339268,0765;;;;;
327793,3431;;;;;
359830,0711;;;;;
319260,9753;;;;;
340494,8446;;;;;
340310,0671;;;;;
349792,8725;;;;;
345028,2264;;;;;
337228,5513;;;;;
337394,3277;;;;;
344395,8457;;;;;
328081,7465;;;;;
344440,8232;;;;;
343868,131;;;;;
332459,7576;;;;;
321011,6259;;;;;
312850,7565;;;;;
335208,764;;;;;
354109,1227;;;;;
347480,7564;;;;;
346221,8349;;;;;
339371,7317;;;;;
346770,0421;;;;;
347464,1505;;;;;
348944,7421;;;;;
325249,777;;;;;
324331,8213;;;;;
347136,4533;;;;;
345406,7994;;;;;
342807,1274;;;;;
327628,5218;;;;;
338644,4683;;;;;
332282,7922;;;;;
337045,201;;;;;
330587,8117;;;;;
347142,3262;;;;;
320218,9281;;;;;
354290,5624;;;;;
324209,9503;;;;;
332546,2747;;;;;
347867,5345;;;;;
333930,4166;;;;;
335290,1987;;;;;
351527,6045;;;;;
338801,2996;;;;;
332100,8366;;;;;
355195,5899;;;;;
326577,5589;;;;;
359473,4157;;;;;
354677,7398;;;;;
338003,9574;;;;;
344079,5704;;;;;
341769,0924;;;;;
331118,8381;;;;;
341132,2098;;;;;
